name	page	ingredient	notes
Alamagoozlum	39	Angostura Bitters	
Alamagoozlum	39	Chartreuse	
Alamagoozlum	39	Egg White	
Alamagoozlum	39	Gin, Genever	
Alamagoozlum	39	Gomme Syrup	
Alamagoozlum	39	Orange Curacao	
Alamagoozlum	39	Rum, Jamaican	
Alamagoozlum	39	Water	
Algonquin	43	Dry Vermouth	
Algonquin	43	Pineapple Juice	
Algonquin	43	Rye	
Amarosa	46	Amaro Cora	
Amarosa	46	Gin	
Amarosa	46	Kirschwasser	
Arnaud's Special	51	Dubonnet Rouge	
Arnaud's Special	51	Orange Bitters	
Arnaud's Special	51	Scotch	
Avenue	57	Bourbon	
Avenue	57	Calvados	
Avenue	57	Orange Flower Water	
Avenue	57	Passion Fruit Juice	
Avenue	57	Pomegranate Grenadine	
Aviation	58	Gin	
Aviation	58	Lemon Juice	
Aviation	58	Maraschino Liqueur	
Barbara West	59	Angostura Bitters	
Barbara West	59	Gin	
Barbara West	59	Lemon Juice	
Barbara West	59	Sherry	
Barnum (Was Right)	60	Angostura Bitters	
Barnum (Was Right)	60	Apricot Brandy	
Barnum (Was Right)	60	Gin	
Barnum (Was Right)	60	Lemon Juice	
Bebbo	63	Gin	
Bebbo	63	Honey	
Bebbo	63	Lemon Juice	
Bebbo	63	Orange Juice	
Blackthorn	65	Dubonnet Rouge	
Blackthorn	65	Gin	
Blackthorn	65	Kirschwasser	
Blinker	67	Grapefruit Juice	
Blinker	67	Raspberry Syrup	
Blinker	67	Rye	
Blood and Sand	69	Cherry Brandy	
Blood and Sand	69	Orange Juice	
Blood and Sand	69	Scotch	
Blood and Sand	69	Sweet Vermouth	
Bloody Mary	293	Tabasco Pepper Sauce	
Bloody Mary	293	Tomato Juice	
Bloody Mary	293	Vodka	
Bloody Mary	293	Worcestershire Sauce	
Blue Moon	71	Creme Yvette	
Blue Moon	71	Creme de Violette	
Blue Moon	71	Gin	
Blue Moon	71	Lemon Juice	
Blue Paradise	73	Cognac	
Blue Paradise	73	Dubonnet Rouge	
Blue Paradise	73	Parfait Amour	
Boulevardier	75	Bourbon	
Boulevardier	75	Campari	
Boulevardier	75	Sweet Vermouth	
Brandy Crusta	79	Boker's Bitters	
Brandy Crusta	79	Cognac	
Brandy Crusta	79	Lemon	
Brandy Crusta	79	Lemon Juice	
Brandy Crusta	79	Orange Curacao	
Brandy Crusta	79	Sugar	
Brooklyn	82	Amer Picon	
Brooklyn	82	Bourbon	
Brooklyn	82	Dry Vermouth	
Brooklyn	82	Maraschino Liqueur	
Brooklyn	82	Rye	
Calvados	85	Calvados	
Calvados	85	Cointreau	
Calvados	85	Orange Bitters	
Calvados	85	Orange Juice	
Champagne Cocktail	293	Angostura Bitters	
Champagne Cocktail	293	Champagne	
Champagne Cocktail	293	Sugar Cube	
Chatham Hotel Special	88	Brandy	
Chatham Hotel Special	88	Cream	
Chatham Hotel Special	88	Creme de Cacao	
Chatham Hotel Special	88	Ruby Port	
Classic 1950's Martini	295	Dry Vermouth	
Classic 1950's Martini	295	Gin	
Classic 1950's Martini	295	Orange Bitters	
Classic 1950's Martini	295	Vodka	
Coffee	91	Brandy	
Coffee	91	Egg	
Coffee	91	Ruby Port	
Coffee	91	Sugar	
Communist	92	Cherry Brandy	
Communist	92	Gin	
Communist	92	Lemon Juice	
Communist	92	Orange Juice	
Corpse Reviver #2	95	Absinthe	
Corpse Reviver #2	95	Cointreau	
Corpse Reviver #2	95	Gin	
Corpse Reviver #2	95	Lemon Juice	
Corpse Reviver #2	95	Lillet Blanc	
Corpse Reviver #2	95	Pastis	
Crimean Cup A La Marmora	100	Brandy	
Crimean Cup A La Marmora	100	Champagne	
Crimean Cup A La Marmora	100	Lemon Juice	
Crimean Cup A La Marmora	100	Lemon Peel	
Crimean Cup A La Marmora	100	Maraschino Liqueur	
Crimean Cup A La Marmora	100	Orgeat Syrup	
Crimean Cup A La Marmora	100	Rum, Dark Jamaican	
Crimean Cup A La Marmora	100	Rum, Jamaican	
Crimean Cup A La Marmora	100	Soda Water	
Crimean Cup A La Marmora	100	Sugar	
Cuba Libre	293	Coca-Cola	
Cuba Libre	293	Lime Juice	
Cuba Libre	293	Rum	
Curacao Punch	102	Brandy	
Curacao Punch	102	Lemon Juice	
Curacao Punch	102	Orange Curacao	
Curacao Punch	102	Rum, Jamaican	
Curacao Punch	102	Soda Water	
Curacao Punch	102	Sugar	
Delicious Sour	105	Applejack	
Delicious Sour	105	Egg White	
Delicious Sour	105	Lime Juice	
Delicious Sour	105	Peach Brandy	
Delicious Sour	105	Soda Water	
Delicious Sour	105	Sugar	
Derby	111	Bourbon	
Derby	111	Lime Juice	
Derby	111	Orange Curacao	
Derby	111	Sweet Vermouth	
Diki-Diki	113	Calvados	
Diki-Diki	113	Grapefruit Juice	
Diki-Diki	113	Swedish Punsch	
Doctor	115	Lime Juice	
Doctor	115	Rum, Jamaican	
Doctor	115	Swedish Punsch	
East India	117	Angostura Bitters	
East India	117	Brandy	
East India	117	Maraschino Liqueur	
East India	117	Orange Curacao	
East India	117	Raspberry Syrup	
Fairbank	119	Creme de Noyeaux	
Fairbank	119	Dry Vermouth	
Fairbank	119	Gin	
Fairbank	119	Orange Bitters	
Filmograph	123	Brandy	
Filmograph	123	Kola Tonic	
Filmograph	123	Lemon Juice	
Filmograph	123	Lemon Syrup	
Fish House Punch	125	Brandy	
Fish House Punch	125	Champagne	
Fish House Punch	125	Green Tea	
Fish House Punch	125	Lemon Juice	
Fish House Punch	125	Maraschino Liqueur	
Fish House Punch	125	Peach Brandy	
Fish House Punch	125	Powdered Sugar	
Fish House Punch	125	Rum, Jamaican	
Flying Dutchman	129	Angostura Bitters	
Flying Dutchman	129	Lemon Juice	
Flying Dutchman	129	Orange Gin	
Flying Dutchman	129	Orange Juice	
Fogcutter	132	Brandy	
Fogcutter	132	Gin	
Fogcutter	132	Rum, White	
Fogcutter	132	Simple Syrup	
Fogcutter	132	Sweet-and-Sour Mix	
Fogcutter (Early)	135	Gin, Plymouth	
Fogcutter (Early)	135	Lemon Juice	
Fogcutter (Early)	135	Orange Juice	
Fogcutter (Early)	135	Orgeat Syrup	
Fogcutter (Early)	135	Pisco Brandy	
Fogcutter (Early)	135	Rum, Gold	
Fogcutter (Early)	135	Sherry, Cream	
Ford	137	Benedictine	
Ford	137	Dry Vermouth	
Ford	137	Gin, Old Tom	
Ford	137	Orange Bitters	
Fred Collins Fizz	141	Bourbon	
Fred Collins Fizz	141	Lemon Juice	
Fred Collins Fizz	141	Lemonade	
Fred Collins Fizz	141	Orange Curacao	
Fred Collins Fizz	141	Rye	
Fred Collins Fizz	141	Simple Syrup	
French 75	145	Champagne	
French 75	145	Gin	
French 75	145	Lemon Juice	
French 75	145	Simple Syrup	
Georgia Mint Julep	149	Brandy	
Georgia Mint Julep	149	Cognac	
Georgia Mint Julep	149	Mint Leaves	
Georgia Mint Julep	149	Peach Brandy	
Georgia Mint Julep	149	Sugar	
Georgia Mint Julep	149	Water	
Gimlet	293	Gin	
Gimlet	293	Lime Juice	
Gimlet	293	Rose's Lime Juice Cordial	
Gimlet	293	Vodka	
Golden Dawn	156	Apricot Brandy	
Golden Dawn	156	Calvados	
Golden Dawn	156	Dry Gin	
Golden Dawn	156	Orange Juice	
Golden Dawn	156	Pomegranate Grenadine	
Hanky Panky	158	Fernet Branca	
Hanky Panky	158	Gin	
Hanky Panky	158	Sweet Vermouth	
Have a Heart	163	Gin	
Have a Heart	163	Lime Juice	
Have a Heart	163	Pomegranate Grenadine	
Have a Heart	163	Swedish Punsch	
Honeymoon	165	Benedictine	
Honeymoon	165	Calvados	
Honeymoon	165	Lemon Juice	
Honeymoon	165	Orange Curacao	
Income Tax	167	Angostura Bitters	
Income Tax	167	Dry Vermouth	
Income Tax	167	Gin	
Income Tax	167	Orange Juice	
Income Tax	167	Sweet Vermouth	
Jack Rose	171	Applejack	
Jack Rose	171	Lemon Juice	
Jack Rose	171	Lime Juice	
Jack Rose	171	Pomegranate Grenadine	
Japalac	175	Dry Vermouth	
Japalac	175	Orange Juice	
Japalac	175	Raspberry Syrup	
Japalac	175	Rye	
Jasper's Jamaican Planter's Punch	176	Jasper's Secret Mix	
Jasper's Jamaican Planter's Punch	176	Rum, Dark Jamaican	
Jasper's Rum Punch	177	Jasper's Secret Mix	
Jasper's Rum Punch	177	Rum, White Overproof	
Jasper's Secret Mix	177	Angostura Bitters	
Jasper's Secret Mix	177	Lime Juice	
Jasper's Secret Mix	177	Nutmeg	
Jasper's Secret Mix	177	Sugar	
Jupiter	180	Dry Vermouth	
Jupiter	180	Gin	
Jupiter	180	Orange Juice	
Jupiter	180	Parfait Amour	
Knickerbocker a la Madame	294	Lemon Sorbet	
Knickerbocker a la Madame	294	Madeira	
Knickerbocker a la Madame	294	Seltzer Water	
Knickerbocker a la Madame	294	Shaved Ice	
Knickerbocker a la Madame	294	Sherry	
Knickerbocker a la Monsieur	183	Lemon Juice	
Knickerbocker a la Monsieur	183	Orange Curacao	
Knickerbocker a la Monsieur	183	Orange Slice	
Knickerbocker a la Monsieur	183	Pineapple Slice	
Knickerbocker a la Monsieur	183	Raspberry Syrup	
Knickerbocker a la Monsieur	183	Virgin Islands Rum	
La Floridita Daiquiri	187	Lime Juice	
La Floridita Daiquiri	187	Maraschino Liqueur	
La Floridita Daiquiri	187	Rum	
La Floridita Daiquiri	187	Sugar	
La Floridita Daiquiri	187	Sugar Syrup	
Leatherneck	189	Blended Whiskey	
Leatherneck	189	Blue Curacao	
Leatherneck	189	Lime Juice	
Liberal	191	Orange Bitters	
Liberal	191	Sweet Vermouth	
Liberal	191	Torani Amer	
Liberal	191	Wild Turkey, 100-proof	
Lion's Tail	195	Allspice Dram	
Lion's Tail	195	Angostura Bitters	
Lion's Tail	195	Bourbon	
Lion's Tail	195	Lime Juice	
Lion's Tail	195	Simple Syrup	
Lucien Gaudin	197	Campari	
Lucien Gaudin	197	Cointreau	
Lucien Gaudin	197	Dry Vermouth	
Lucien Gaudin	197	Gin	
Mamie Taylor	199	Ginger Ale	
Mamie Taylor	199	Ginger Beer	
Mamie Taylor	199	Lime Juice	
Mamie Taylor	199	Scotch	
Manhattan	294	Angostura Bitters	
Manhattan	294	Bourbon	
Manhattan	294	Rye	
Manhattan	294	Sweet Vermouth	
Milk Punch	203	Brandy	
Milk Punch	203	Milk, Whole	
Milk Punch	203	Rum, Dark	
Milk Punch	203	Simple Syrup	
Milk Punch	203	Vanilla Extract	
Millionaire	207	Apricot Brandy	
Millionaire	207	Lime Juice	
Millionaire	207	Rum, Dark	
Millionaire	207	Sloe Gin	
Millionaire #4	206	Apricot Brandy	
Millionaire #4	206	Grenadine	
Millionaire #4	206	Lime Juice	
Millionaire #4	206	Rum, Jamaican	
Millionaire #4	206	Sloe Gin	
Modernista	208	Absinthe	
Modernista	208	Lemon Juice	
Modernista	208	Orange Bitters	
Modernista	208	Pastis	
Modernista	208	Rum, Dark Jamaican	
Modernista	208	Scotch	
Modernista	208	Swedish Punsch	
Monkey Gland	212	Absinthe	
Monkey Gland	212	Dry Gin	
Monkey Gland	212	Orange Juice	
Monkey Gland	212	Pastis	
Monkey Gland	212	Pomegranate Grenadine	
Moscow Mule	217	Ginger Ale	
Moscow Mule	217	Ginger Beer	
Moscow Mule	217	Lime Juice	
Moscow Mule	217	Vodka	
Mother-in-Law	219	Amer Picon	
Mother-in-Law	219	Angostura Bitters	
Mother-in-Law	219	Bourbon	
Mother-in-Law	219	Maraschino Liqueur	
Mother-in-Law	219	Orange Curacao	
Mother-in-Law	219	Peychaud's Bitters	
Mother-in-Law	219	Simple Syrup	
Navy Grog (The Ancient Mariner)	294	Allspice Dram	
Navy Grog (The Ancient Mariner)	294	Grapefruit Juice	
Navy Grog (The Ancient Mariner)	294	Lime Juice	
Navy Grog (The Ancient Mariner)	294	Rum, Dark Jamaican	
Navy Grog (The Ancient Mariner)	294	Rum, Demerara	
Navy Grog (The Ancient Mariner)	294	Simple Syrup	
Negroni	295	Campari	
Negroni	295	Gin	
Negroni	295	Sweet Vermouth	
Negroni	295	Vodka	
Original Margarita	295	Cointreau	
Original Margarita	295	Lime Juice	
Original Margarita	295	Tequila, Blanco	
Palm Beach	223	Gin	
Palm Beach	223	Grapefruit Juice	
Palm Beach	223	Sweet Vermouth	
Park Avenue	225	Gin	
Park Avenue	225	Orange Curacao	
Park Avenue	225	Pineapple Juice	
Park Avenue	225	Sweet Vermouth	
Pegu Club	227	Angostura Bitters	
Pegu Club	227	Cointreau	
Pegu Club	227	Gin	
Pegu Club	227	Lime Juice	
Pendennis	228	Apricot Brandy	
Pendennis	228	Gin	
Pendennis	228	Lime Juice	
Pendennis	228	Peychaud's Bitters	
Philadelphia Fish House Mixture	296	Cognac	
Philadelphia Fish House Mixture	296	Peach Brandy	
Philadelphia Fish House Mixture	296	Rum, Jamaican	
Philadelphia Fish House Punch	296	Lemon Juice	
Philadelphia Fish House Punch	296	Philadelphia Fish House Mixture	
Philadelphia Fish House Punch	296	Sugar, White	
Philadelphia Fish House Punch	296	Water	
Picon Punch	233	Amer Picon	
Picon Punch	233	Brandy	
Picon Punch	233	Pomegranate Grenadine	
Picon Punch	233	Soda Water	
Pimm's Cup	297	7-Up	
Pimm's Cup	297	Bitter Lemon	
Pimm's Cup	297	Ginger Ale	
Pimm's Cup	297	Ginger Beer	
Pimm's Cup	297	Lemonade	
Pimm's Cup	297	Pimm's #1 Gin Sling	
Pineapple Syrup	297	Pineapple, Whole	
Pineapple Syrup	297	Sugar, Cane	
Pineapple Syrup	297	Water	
Pink Gin	235	Angostura Bitters	
Pink Gin	235	Gin, Plymouth	
Ritz Sidecar	237	Cognac	
Ritz Sidecar	237	Cointreau	
Ritz Sidecar	237	Lemon Juice	
Rob Roy	297	Angostura Bitters	
Rob Roy	297	Scotch	
Rob Roy	297	Sweet Vermouth	
Rose	239	Dry Vermouth	
Rose	239	Kirschwasser	
Rose	239	Raspberry Syrup	
Royal Bermuda Yacht Club	241	Cointreau	
Royal Bermuda Yacht Club	241	Falernum	
Royal Bermuda Yacht Club	241	Lime Juice	
Royal Bermuda Yacht Club	241	Rum, Barbados	
Rusty Nail	297	Drambuie	
Rusty Nail	297	Scotch, Smoky	
Saint Croix Rum Fix	243	Lemon Juice	
Saint Croix Rum Fix	243	Pineapple Syrup	
Saint Croix Rum Fix	243	Rum, Virgin Islands	
Saint Croix Rum Fix	243	Simple Syrup	
Saint Croix Rum Fix	243	Sugar	
Satan's Whiskers	245	Dry Vermouth	
Satan's Whiskers	245	Gin	
Satan's Whiskers	245	Orange Bitters	
Satan's Whiskers	245	Orange Curacao	
Satan's Whiskers	245	Orange Juice	
Satan's Whiskers	245	Sweet Vermouth	
Sazerac	298	Absinthe	
Sazerac	298	Pastis	
Sazerac	298	Peychaud's Bitters	
Sazerac	298	Rye	
Sazerac	298	Simple Syrup	
Scofflaw	249	Dry Vermouth	
Scofflaw	249	Lemon Juice	
Scofflaw	249	Pomegranate Grenadine	
Scofflaw	249	Rye	
Secret	251	Applejack	
Secret	251	Dry Gin	
Secret	251	Egg White	
Secret	251	Lemon Juice	
Secret	251	Pomegranate Grenadine	
Seelbach	254	Angostura Bitters	
Seelbach	254	Bourbon	
Seelbach	254	Champagne	
Seelbach	254	Cointreau	
Seelbach	254	Peychaud's Bitters	
Seventh Heaven	259	Gin	
Seventh Heaven	259	Grapefruit Juice	
Seventh Heaven	259	Maraschino Liqueur	
Sidecar	299	Brandy	
Sidecar	299	Cointreau	
Sidecar	299	Lemon Juice	
Singapore Sling	298	Angostura Bitters	
Singapore Sling	298	Benedictine	
Singapore Sling	298	Cherry Brandy	
Singapore Sling	298	Cointreau	
Singapore Sling	298	Gin	
Singapore Sling	298	Lime Juice	
Singapore Sling	298	Pineapple Juice	
Singapore Sling	298	Pomegranate Grenadine	
Singapore Sling	298	Soda Water	
Soother	261	Apple Juice	
Soother	261	Cognac	
Soother	261	Lemon Juice	
Soother	261	Orange Curacao	
Soother	261	Rum, Jamaican	
Soother	261	Simple Syrup	
Soyer au Champagne	263	Brandy	
Soyer au Champagne	263	Champagne	
Soyer au Champagne	263	Maraschino Liqueur	
Soyer au Champagne	263	Orange Curacao	
Soyer au Champagne	263	Pineapple Juice	
Soyer au Champagne	263	Vanilla Ice Cream	
Straits Sling	265	Angostura Bitters	
Straits Sling	265	Benedictine	
Straits Sling	265	Gin	
Straits Sling	265	Kirschwasser	
Straits Sling	265	Lemon Juice	
Straits Sling	265	Orange Bitters	
Straits Sling	265	Soda Water	
Three to One	269	Apricot Brandy	
Three to One	269	Gin, 100 Proof	
Three to One	269	Lime Juice	
Tom Collins	299	Gin	
Tom Collins	299	Lemon Juice	
Tom Collins	299	Simple Syrup	
Tom Collins	299	Soda Water	
Twelve Mile Limit	271	Brandy	
Twelve Mile Limit	271	Lemon Juice	
Twelve Mile Limit	271	Pomegranate Grenadine	
Twelve Mile Limit	271	Rum, White	
Twelve Mile Limit	271	Rye	
Twentieth Century	274	Creme de Cacao	
Twentieth Century	274	Gin	
Twentieth Century	274	Lemon Juice	
Twentieth Century	274	Lillet Blanc	
Vesper	277	Gin, Dry	
Vesper	277	Kina Lillet	
Vesper	277	Vodka	
Vieux Carre	280	Angostura Bitters	
Vieux Carre	280	Benedictine	
Vieux Carre	280	Cognac	
Vieux Carre	280	Peychaud's Bitters	
Vieux Carre	280	Rye	
Vieux Carre	280	Sweet Vermouth	
Vowel	282	Angostura Bitters	
Vowel	282	Kummel	
Vowel	282	Orange Juice	
Vowel	282	Scotch	
Vowel	282	Sweet Vermouth	
Whiskey Sour	299	Bourbon	
Whiskey Sour	299	Lemon Juice	
Whiskey Sour	299	Rye	
Whiskey Sour	299	Simple Syrup	
Whiskey Sour	299	Soda Water	
White Lady	299	Cointreau	
White Lady	299	Gin	
White Lady	299	Lemon Juice	
Widow's Kiss	285	Angostura Bitters	
Widow's Kiss	285	Benedictine	
Widow's Kiss	285	Calvados	
Widow's Kiss	285	Chartreuse	
Zombie	290	Angostura Bitters	
Zombie	290	Lemon Juice	
Zombie	290	Lime Juice	
Zombie	290	Passion Fruit Syrup	
Zombie	290	Pineapple Juice	
Zombie	290	Rum, 151-proof Demerara	
Zombie	290	Rum, Gold Puerto Rican	
Zombie	290	Rum, White Puerto Rican	
Zombie	290	Sugar, Brown	