name	have
Absinthe	1
Allspice Dram	
Amaro Ciociaro	
Amer Picon	
Aperol	
Apricot Liqueur	
Aquavit	
Averna Amaro	
Bärenjäger Honey Liqueur	
Bénédictine	1
Batavia Arrack	
Beer, Pilsner	
Beer, Pumpkin	
Beer, Raspberry	
Beer, Stout	
Beer, White	
Bitters, Abbott's	
Bitters, Angostura	1
Bitters, Barrel-Aged	
Bitters, Boker's	
Bitters, Celery	1
Bitters, Grapefruit	
Bitters, Jerry Thomas	1
Bitters, Lemon	
Bitters, Old Fashion	1
Bitters, Orange	1
Bitters, Peach	
Bitters, Peruvian Amargo	
Bitters, Peychaud's	1
Bitters, Rhubarb	
Bitters, Verbena	
Bitters, Whiskey Barrel Aged	
Bitters, Xocolatl Mole	1
Brandy, Apple	
Brandy, Cognac	1
Brandy, Jerez	
Brandy, Pear	
Brandy, Pisco	
Brandy, Plum	
Brine, Pickled Ramp	
Butter, Apple	
Butter, Vanilla	
Cachaça	
Campari	1
Chartreuse, Green	1
Chartreuse, Yellow	
Cherry Heering	1
Cider, Apple	
Cocchi Americano	
Coffee	
Cointreau	1
Cordial, Grapefruit	
Coridal, Lime	
Crème de Banane	
Crème de Cacao	
Crème de Cassis	1
Crème de Mandarine	
Crème de Violette	1
Cream, Heavy	
Curaçao, Orange	
Cynar	
Drambuie	1
Dubonnet Rouge	
Eau de Vie	
Egg, White	1
Egg, Whole	1
Egg, Yolk	1
Elderflower Liqueur	1
Espresso Liqueur	
Essence, Bergamot	
Essence, Clove	
Essence, Tobacco	
Falernum	
Fernet-Branca	
Galliano l'Autentico	
Genever	
Gin, London Dry	1
Gin, Old Tom	1
Gin, Plymouth	1
Gin, Sloe	
Ginger Ale	
Ginger Beer	1
Ginger Liqueur	1
Godiva Original Liqueur	
Gran Classico Bitter	
Grand Marnier	1
Grenadine	1
Horchata	
Juice, Blood Orange	1
Juice, Grapefruit	1
Juice, Honeydew Melon	
Juice, Lemon	1
Juice, Lime	1
Juice, Orange	1
Juice, Pineapple	1
Juice, Watermelon	
Kahlúa	
Kirschwasser	
Licor 43	
Lillet Blanc	
Lillet Rouge	
Luxardo Amaretto	
Luxardo Bitter	
Luxardo Maraschino	1
Madeira	
Mezcal	
Milk, Whole	1
Monteverdi Nocino	
Nonino Amaro	
Nonino Gioiello	
Orgeat	
Peach Liqueur	
Pear Liqueur	
Pernod	
Pimms #1	
Pomogranate Liqueur	
Port	
Preserves, Raspberry	1
Preserves, Strawberry	1
Punsch	
Punt e Mes	
Purée, Passion Fruit	
Purée, Rhubarb	
Purée, Tamarind	
Rhum	
Root Beer	
Rum	1
Sake	
Sambuca	
Schnapps, Apple	
Sherry	
Shrubb, Concord Grape	
Shrubb, Creole	
Shrubb, Quince	
Soda, Club	1
Soda, Coca-Cola	1
Soda, Grapefruit	1
Soda, Lemon	1
Sorbet	
Sorrel, Spiced	
Strega	
Suze	
Syrup, Agave	
Syrup, Black Cardamon	
Syrup, Cane Sugar	1
Syrup, Caramelized Simple	
Syrup, Clove	
Syrup, Cranberry	
Syrup, Demerara	1
Syrup, Grapefruit	
Syrup, Honey	1
Syrup, Kumquat	
Syrup, Lemon	
Syrup, Lemongrass	
Syrup, Maple	
Syrup, Rice	
Syrup, Rose	
Syrup, Tonic	1
Syrup, Vanilla	
Tea, Chamomile	1
Tea, Hibiscus	1
Tea, Jasmine	
Tequila, Añejo	
Tequila, Blanco	
Tequila, Reposado	
Tincture, Goldenseal	
Tincture, Lavender	
Trader Tiki's Don's Mix	
Vermouth, Bianco/Blanc	1
Vermouth, Dry	1
Vermouth, Sweet	1
Vodka	1
Water, Coconut	
Water, Corn	
Water, Orange Flower	
Water, Rose Flower	
Water, Tonic	
Whiskey, Bourbon	1
Whiskey, Corn	
Whiskey, Irish	
Whiskey, Rye	1
Whiskey, Wheat	
Whisky, Blended Scotch	1
Whisky, Japanese Malt	
Whisky, Single Malt Scotch	1
Whisky, Tennessee	
Wine, Beaujolais Nouveau	
Wine, Cabernet Franc	
Wine, Champagne	1
Wine, Chardonnay	
Wine, Prosecco	1
Wine, Reisling	
Wine, Rosé	
Wine, Tokaji	
Zwack	